Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Pressure (millibars)
9.472222222,7.388888889,0.89,14.1197,1015.13
9.355555556,7.227777778,0.86,14.2646,1015.63
9.377777778,9.377777778,0.89,3.9284,1015.94
8.288888889,5.944444444,0.83,14.1036,1016.41
8.755555556,6.977777778,0.83,11.0446,1016.51
9.222222222,7.111111111,0.85,13.9587,1016.66
7.733333333,5.522222222,0.95,12.3648,1016.72
8.772222222,6.527777778,0.89,14.1519,1016.84
10.82222222,10.82222222,0.82,11.3183,1017.37
13.77222222,13.77222222,0.72,12.5258,1017.22
16.01666667,16.01666667,0.67,17.5651,1017.42
17.14444444,17.14444444,0.54,19.7869,1017.74
17.8,17.8,0.55,21.9443,1017.59
17.33333333,17.33333333,0.51,20.6885,1017.48
18.87777778,18.87777778,0.47,15.3755,1017.17
18.91111111,18.91111111,0.46,10.4006,1016.47
15.38888889,15.38888889,0.6,14.4095,1016.15
15.55,15.55,0.63,11.1573,1016.17
14.25555556,14.25555556,0.69,8.5169,1015.82
13.14444444,13.14444444,0.7,7.6314,1015.83
11.55,11.55,0.77,7.3899,1015.85
11.18333333,11.18333333,0.76,4.9266,1015.77
10.11666667,10.11666667,0.79,6.6493,1015.4
10.2,10.2,0.77,3.9284,1015.51
10.42222222,10.42222222,0.62,16.9855,1014.4
9.911111111,7.566666667,0.66,17.2109,1014.2
11.18333333,11.18333333,0.8,10.8192,1008.71
7.155555556,5.044444444,0.79,11.0768,1014.47
6.111111111,4.816666667,0.82,6.6493,1014.45
6.788888889,4.272222222,0.83,13.0088,1014.49
7.261111111,5.155555556,0.85,11.1734,1014.52
7.8,5.527777778,0.83,12.8156,1014.16
9.872222222,7.933333333,0.78,13.7494,1014.24
12.22222222,12.22222222,0.72,15.6331,1014.25
15.09444444,15.09444444,0.61,17.549,1013.96
17.35555556,17.35555556,0.52,22.7815,1013.85
19.00555556,19.00555556,0.46,23.8924,1013.04
20.04444444,20.04444444,0.4,28.3682,1012.22
21.05,21.05,0.4,26.9031,1011.44
21.18333333,21.18333333,0.37,25.6956,1010.52
20.11666667,20.11666667,0.4,25.3092,1009.83
20.21666667,20.21666667,0.36,18.1125,1009.26
20,20,0.43,23.4255,1008.76
17.8,17.8,0.5,20.0445,1008.36
16.06111111,16.06111111,0.53,21.3969,1008.11
15.02222222,15.02222222,0.55,21.3808,1008.15
14.42222222,14.42222222,0.58,20.0123,1007.85
14.25555556,14.25555556,0.59,16.5025,1007.89
13.77222222,13.77222222,0.6,17.0982,1007.36
13.28333333,13.28333333,0.63,14.3612,1007.26
8.633333333,5.466666667,0.87,22.0409,1005.1
11.25,11.25,0.83,11.3344,1007.01
11.18333333,11.18333333,0.89,11.2056,1006.73
10.69444444,10.69444444,0.95,10.4006,1006.59
11.11111111,11.11111111,0.93,12.0106,1006.34
11.11111111,11.11111111,0.93,9.2092,1006.09
12.16666667,12.16666667,0.82,9.9015,1005.97
12.75555556,12.75555556,0.79,13.8299,1005.63
13.83888889,13.83888889,0.84,9.0965,1005.83
16.18333333,16.18333333,0.73,0.644,1005.97
17.51666667,17.51666667,0.67,0.6762,1005.64
17.38333333,17.38333333,0.67,3.864,1005.2
17.36111111,17.36111111,0.71,7.8246,1005.1
17.20555556,17.20555556,0.74,15.5848,1004.65
15.63333333,15.63333333,0.81,23.6992,1004.04
13.57777778,13.57777778,0.9,20.9622,1004.08
10.91111111,10.91111111,0.86,22.3951,1004.61
8.8,5.294444444,0.99,26.5006,1004.99
8.961111111,5.777777778,0.93,23.2162,1004.85
8.2,4.605555556,0.96,25.4219,1004.96
7.688888889,3.722222222,0.96,28.1267,1005.14
7.766666667,4.65,0.96,19.2878,1005.05
8.2,5.072222222,0.96,20.447,1004.8
8.177777778,4.372222222,0.93,27.8691,1004.89
7.311111111,6.183333333,0.82,6.7459,1007
7.644444444,5.038888889,0.93,14.9086,1004.3
6.622222222,2.616666667,0.93,25.0355,1003.68
6.683333333,3.222222222,0.93,19.8352,1003.86
6.088888889,1.65,0.93,28.0945,1003.57
6.066666667,1.633333333,0.93,27.9818,1003.96
6.144444444,1.494444444,0.93,30.8637,1004.1
7.133333333,2.688888889,0.8,32.1678,1004.26
7.205555556,3.233333333,0.86,26.5328,1004.18
7.566666667,3.544444444,0.84,28.336,1004.23
8.9,5.161111111,0.77,29.8333,1004.47
9.961111111,6.644444444,0.71,28.4809,1004.52
9.888888889,6.55,0.71,28.5131,1004.29
11.06666667,11.06666667,0.71,25.6956,1003.93
10.11666667,10.11666667,0.76,25.3414,1004
11.03888889,11.03888889,0.66,21.413,1004.3
10.65,10.65,0.7,17.8549,1004
10.05,10.05,0.7,15.1984,1004.39
9.9,7.716666667,0.66,15.7297,1005.48
8.794444444,6.816666667,0.71,12.3648,1005.89
7.827777778,5.405555556,0.72,13.8943,1006.37
7.855555556,6.122222222,0.72,9.8049,1006.56
7.316666667,6.211111111,0.75,6.6654,1007.07
7.244444444,6.005555556,0.75,7.1162,1007.37
5.438888889,5.438888889,0.88,3.7191,1012.23
7.2,4.55,0.76,14.4739,1007.28
6.688888889,3.161111111,0.7,20.5275,1007.18
6.211111111,2.694444444,0.73,19.3039,1007.39
6.111111111,2.8,0.76,17.4363,1007.67
6.111111111,2.438888889,0.76,20.4148,1007.98
6.172222222,2.922222222,0.76,17.0499,1008.57
7.222222222,3.833333333,0.71,20.5114,1008.87
7.288888889,4.244444444,0.73,17.6456,1009.44
7.405555556,4.816666667,0.72,14.4095,1010.03
7.961111111,6.072222222,0.7,10.7548,1010.22
8.033333333,7.583333333,0.7,4.8622,1010.39
9.077777778,9.077777778,0.65,2.3828,1010.24
9.05,9.05,0.62,0.322,1010
9.05,9.05,0.65,3.2522,1009.98
9.183333333,9.183333333,0.65,3.0107,1010.05
9.072222222,7.455555556,0.7,10.465,1010.1
7.983333333,6.811111111,0.75,7.3416,1010.39
8.072222222,6.433333333,0.75,9.5151,1010.91
7.894444444,6.127777778,0.82,9.9981,1011.32
7.311111111,4.805555556,0.83,13.685,1011.61
7.338888889,5.183333333,0.84,11.5437,1011.97
6.622222222,4.111111111,0.85,12.719,1012.22
6.066666667,3.411111111,0.88,12.8961,1012.74
8.338888889,8.338888889,0.88,0.6923,1015.35
5.183333333,4.111111111,0.91,5.5384,1013.29
3.722222222,2.566666667,0.94,5.2003,1013.39
4.855555556,3.705555556,0.93,5.6189,1013.45
5.211111111,5.211111111,0.92,4.7656,1013.4
6.255555556,4.638888889,0.92,7.9212,1013.81
7.794444444,6.055555556,0.87,9.7566,1014.7
10.05,10.05,0.76,9.6922,1014.67
12.2,12.2,0.66,14.49,1014.66
12.7,12.7,0.63,20.3343,1014.8
13.93333333,13.93333333,0.58,23.5865,1014.47
15.09444444,15.09444444,0.59,22.2985,1014.16
15.15,15.15,0.5,14.7154,1014.07
16.17777778,16.17777778,0.44,14.49,1013.34
16.25,16.25,0.55,14.7154,1012.72
16.29444444,16.29444444,0.5,19.5937,1012.38
16.1,16.1,0.56,14.8281,1012.38
12.95555556,12.95555556,0.68,11.9784,1012.72
13.85,13.85,0.64,11.5598,1013.42
12.77777778,12.77777778,0.69,14.2485,1014.41
12.15,12.15,0.72,11.2539,1014.89
10.67777778,10.67777778,0.81,5.7799,1014.91
10.44444444,10.44444444,0.83,2.6404,1014.75
9.822222222,9.466666667,0.8,5.313,1015.55
11.02777778,11.02777778,0.74,11.3827,1015.7
7.138888889,7.138888889,0.93,3.6547,1016.43
7.622222222,5.644444444,0.89,10.8675,1016.56
7.627777778,6.611111111,0.86,6.5205,1017.15
7.044444444,4.855555556,0.86,11.3988,1017.37
8.6,7.038888889,0.84,9.66,1018.25
9.65,7.383333333,0.84,15.9551,1019.24
12.10555556,12.10555556,0.72,13.1698,1019.83
12.77777778,12.77777778,0.71,13.1698,1020.51
13.81111111,13.81111111,0.65,9.6761,1020.91
16.01666667,16.01666667,0.48,11.2378,1020.6
17.12777778,17.12777778,0.47,12.7029,1020.39
17.14444444,17.14444444,0.43,10.6099,1020.34
17.77777778,17.77777778,0.4,7.9534,1019.7
17.77777778,17.77777778,0.37,2.5921,1018.89
17.80555556,17.80555556,0.43,11.0124,1018.48
16.15555556,16.15555556,0.52,9.1931,1017.87
14.05,14.05,0.63,9.1609,1017.56
13.08888889,13.08888889,0.67,9.2736,1017.38
12.28888889,12.28888889,0.72,9.4507,1017.58
12.77777778,12.77777778,0.66,11.0768,1017.65
12.72777778,12.72777778,0.67,13.3791,1017.36
12.26666667,12.26666667,0.69,14.1358,1016.8
11.71111111,11.71111111,0.71,11.3183,1016.64
10.82777778,10.82777778,0.86,9.177,1013.13
12.2,12.2,0.59,14.168,1014.79
12.2,12.2,0.6,14.2968,1014.25
11.68888889,11.68888889,0.68,13.8299,1013.95
11.20555556,11.20555556,0.77,14.007,1013.63
11.13333333,11.13333333,0.77,15.4882,1013.27
11.43888889,11.43888889,0.77,13.8782,1013.56
13.03333333,13.03333333,0.81,14.4578,1012.85
17.24444444,17.24444444,0.62,25.0194,1012.15
17.73888889,17.73888889,0.53,27.37,1011.71
17.84444444,17.84444444,0.56,22.218,1011.28
18.86111111,18.86111111,0.56,23.5382,1010.99
18.66666667,18.66666667,0.56,19.8996,1010.93
17.82222222,17.82222222,0.56,17.5007,1010.7
17.8,17.8,0.59,17.6939,1010.52
17.35,17.35,0.57,19.5615,1010.69
16.06666667,16.06666667,0.67,21.8155,1010.86
14.93333333,14.93333333,0.73,17.2753,1011.14
13.92222222,13.92222222,0.78,11.7691,1011.64
12.75555556,12.75555556,0.84,11.0446,1012.02
12.75555556,12.75555556,0.84,11.0607,1012.21
12.37222222,12.37222222,0.86,7.2933,1012.33
11.18333333,11.18333333,0.93,6.923,1012.6
11.66666667,11.66666667,0.9,11.1734,1012.8
8.977777778,7.366666667,0.95,10.3201,1012.66
10.57777778,10.57777778,0.93,11.1734,1012.32
10.53333333,10.53333333,0.89,14.007,1012.33
10.58888889,10.58888889,0.87,7.2933,1012.55
9.983333333,9.283333333,0.89,6.7298,1012.71
11.02222222,11.02222222,0.86,7.889,1013.01
13.53888889,13.53888889,0.75,11.8657,1013.23
13.88888889,13.88888889,0.68,20.0123,1013.31
15,15,0.67,17.5812,1013.4
17.18333333,17.18333333,0.57,15.9551,1013.27
16.2,16.2,0.62,16.3093,1013.02
17.75,17.75,0.56,17.7744,1013.03
18.40555556,18.40555556,0.54,19.0785,1012.55
17.82222222,17.82222222,0.59,17.5973,1012.03
17.31111111,17.31111111,0.57,20.3343,1011.81
17.50555556,17.50555556,0.55,13.7172,1011.33
17.26666667,17.26666667,0.54,14.3773,1011.2
15.13888889,15.13888889,0.61,10.8997,1011.5
13.25,13.25,0.69,4.7173,1011.76
12.29444444,12.29444444,0.72,4.669,1012.01
10.7,10.7,0.79,3.5742,1012.31
9.855555556,9.388888889,0.85,5.7477,1012.51
9.522222222,7.861111111,0.88,11.27,1012.52
8.405555556,8.405555556,0.92,3.1234,1012.61
13.01111111,13.01111111,0.82,9.6278,1011.27
7.733333333,7.733333333,0.96,3.4293,1012.54
6.138888889,6.138888889,0.96,3.3488,1012.44
6.472222222,6.472222222,0.95,2.9946,1012.62
6.627777778,6.627777778,0.96,3.3005,1012.75
8.688888889,8.688888889,0.93,1.4329,1012.96
11.99444444,11.99444444,0.81,2.415,1013.38
13.76666667,13.76666667,0.78,4.1538,1013.14
15.08888889,15.08888889,0.77,7.3738,1013.33
16.45555556,16.45555556,0.68,7.8085,1013.56
17.31111111,17.31111111,0.62,7.3738,1013.61
17.87222222,17.87222222,0.64,8.372,1013.11
19.03888889,19.03888889,0.47,7.0679,1012.69
18.97777778,18.97777778,0.51,10.8675,1012.2
19.00555556,19.00555556,0.55,4.8139,1011.7
19.01111111,19.01111111,0.53,4.7978,1011.4
17.86666667,17.86666667,0.64,10.9319,1011.32
17.26666667,17.26666667,0.62,10.8514,1011.23
16.18888889,16.18888889,0.61,5.0876,1011.5
14.88333333,14.88333333,0.72,9.177,1012.05
14.32777778,14.32777778,0.75,10.9319,1012.15
14.51111111,14.51111111,0.75,6.3756,1012.09
14.37222222,14.37222222,0.75,6.5366,1011.83
14.87777778,14.87777778,0.72,14.2163,1011.45
10.40555556,10.40555556,0.92,3.6064,1012.05
12.82222222,12.82222222,0.83,8.4364,1011.18
12.8,12.8,0.85,14.4256,1010.07
12.82777778,12.82777778,0.86,13.8943,1009.83
12.26666667,12.26666667,0.85,15.778,1009.8
12.26666667,12.26666667,0.85,15.5848,1009.99
12.18333333,12.18333333,0.82,12.3809,1010.21
12.17222222,12.17222222,0.8,20.3826,1010.41
12.71111111,12.71111111,0.83,22.0892,1010.33
15.60555556,15.60555556,0.78,22.3468,1010.43
16.02222222,16.02222222,0.78,18.0642,1010.29
17.2,17.2,0.67,17.6456,1010.1
17.21666667,17.21666667,0.71,14.0875,1009.96
17.82777778,17.82777778,0.69,13.4113,1009.86
17.82777778,17.82777778,0.69,14.6188,1009.47
17.73333333,17.73333333,0.69,9.2414,1009.63
16.27222222,16.27222222,0.71,23.0713,1009.39
13.16666667,13.16666667,0.93,3.7674,1011.07
13.25555556,13.25555556,0.93,3.1395,1011.23
13.01111111,13.01111111,0.93,10.3362,1011.35
12.45555556,12.45555556,0.91,5.796,1011.67
12.48888889,12.48888889,0.9,9.8854,1011.76
9.555555556,8.85,0.8,6.4883,1015.68
10.62222222,10.62222222,0.79,14.0231,1015.41
8.722222222,8.722222222,0.93,4.5724,1014.98
10.53333333,10.53333333,0.77,10.7709,1015.18
9.444444444,8.705555556,0.83,6.5366,1014.7
9.888888889,9.327777778,0.83,6.0858,1014.64
10.36666667,10.36666667,0.78,10.7065,1014.31
8.888888889,7.233333333,0.89,10.4972,1014.63
9.977777778,8.994444444,0.84,8.0017,1014.82
12.2,12.2,0.73,2.4633,1014.82
13.96111111,13.96111111,0.67,9.3058,1015
14.94444444,14.94444444,0.67,7.1645,1014.9
16.18333333,16.18333333,0.71,11.753,1014.35
16.36666667,16.36666667,0.61,7.1323,1014.51
17.37222222,17.37222222,0.57,3.6225,1014.32
17.67222222,17.67222222,0.51,1.7549,1013.93
17.72222222,17.72222222,0.53,8.6779,1013.45
16.23888889,16.23888889,0.61,2.8336,1013.43
14.06666667,14.06666667,0.71,9.2414,1013.58
13.95555556,13.95555556,0.76,7.4221,1013.24
12.28888889,12.28888889,0.8,3.542,1013.7
10.02222222,10.02222222,0.86,3.1073,1014.14
9.377777778,8.65,0.86,6.44,1014.34
9.416666667,9.416666667,0.9,4.6046,1014.6
11.82777778,11.82777778,0.92,3.0268,1011.68
10.76111111,10.76111111,0.91,5.1681,1011.98
12.15555556,12.15555556,0.95,2.8497,1015.64
9.672222222,9.188888889,0.94,5.7155,1012.26
8.15,7.15,0.94,6.762,1012.63
10.2,10.2,0.95,5.6189,1012.62
10.11666667,10.11666667,0.99,2.254,1012.85
10.16111111,10.16111111,0.99,0.3381,1013.61
11.24444444,11.24444444,0.98,2.7531,1013.9
12.24444444,12.24444444,0.99,2.254,1014.31
13.91111111,13.91111111,0.92,8.0983,1014.43
15.61666667,15.61666667,0.82,2.2862,1014.73
15.07222222,15.07222222,0.86,3.2844,1014.92
15.07222222,15.07222222,0.82,7.5992,1014.73
14.26666667,14.26666667,0.87,10.5616,1014.92
16.01666667,16.01666667,0.81,6.6654,1014.76
15.02777778,15.02777778,0.86,7.7119,1014.37
13.94444444,13.94444444,0.89,7.2772,1014.83
12.91666667,12.91666667,0.95,11.4793,1015.11
12.89444444,12.89444444,0.95,5.2808,1015.14
12.4,12.4,0.98,2.3506,1015.5
12.26666667,12.26666667,0.99,8.05,1015.76
12.22222222,12.22222222,0.96,6.1985,1016.35
11.25,11.25,0.96,2.7692,1016.38
11.52777778,11.52777778,0.96,3.1556,1016.43
11.53888889,11.53888889,0.96,5.9892,1016.56
9.438888889,8.85,0.96,5.9731,1017.23
11.43888889,11.43888889,0.96,6.279,1016.17
11.39444444,11.39444444,0.96,6.44,1016.25
11.52777778,11.52777778,0.96,6.4239,1016.13
11.95,11.95,0.93,4.83,1016.17
11.97222222,11.97222222,1,9.66,1016.45
12.63333333,12.63333333,0.96,7.6636,1016.94
12.75555556,12.75555556,0.96,7.9695,1017.06
13.84444444,13.84444444,0.9,7.9212,1017.45
13.17222222,13.17222222,0.94,10.3845,1017.77
15.06666667,15.06666667,0.86,8.1466,1017.73
17.24444444,17.24444444,0.75,7.1645,1017.53
16.31666667,16.31666667,0.76,13.3469,1017.31
17.38333333,17.38333333,0.74,13.6206,1016.82
15.27222222,15.27222222,0.76,8.2754,1016.6
17.45555556,17.45555556,0.72,5.2808,1016.39
16.22222222,16.22222222,0.77,11.1573,1016.33
15.08333333,15.08333333,0.82,3.6869,1016.52
13.99444444,13.99444444,0.88,1.1431,1016.81
12.17222222,12.17222222,0.92,0.6601,1017.34
11.08888889,11.08888889,0.95,4.8461,1017.54
11.09444444,11.09444444,0.95,3.381,1017.43
9.883333333,9.883333333,0.96,3.3649,1017.65
9.355555556,8.633333333,0.96,6.4239,1017.56
9.861111111,9.861111111,0.96,3.2361,1016.16
8.272222222,8.272222222,0.99,3.3166,1017.16
8.866666667,8.866666667,0.96,2.6243,1017.15
8.816666667,8.816666667,0.96,3.9445,1017.28
7.155555556,7.155555556,1,1.8515,1017.15
8.85,8.85,0.99,3.4776,1017.36
11.17777778,11.17777778,0.93,2.8819,1017.7
12.38888889,12.38888889,0.98,3.4293,1017.72
14.14444444,14.14444444,0.88,4.8783,1017.82
17.1,17.1,0.72,3.059,1017.77
18.93888889,18.93888889,0.64,4.2021,1017.3
17.91666667,17.91666667,0.68,4.0894,1016.9
19.98333333,19.98333333,0.53,1.2236,1016.4
20.07222222,20.07222222,0.62,9.0643,1015.9
20.07222222,20.07222222,0.56,9.4829,1015.29
20.08333333,20.08333333,0.58,7.4865,1014.9
19.08888889,19.08888889,0.63,9.1287,1014.68
17.45,17.45,0.62,7.567,1014.78
15.56666667,15.56666667,0.74,0.5152,1015.04
12.49444444,12.49444444,0.91,3.9445,1015.51
12.24444444,12.24444444,0.89,1.5295,1015.72
11.41666667,11.41666667,0.92,2.9624,1015.79
10.55555556,10.55555556,0.95,6.0375,1015.83
10.46666667,10.46666667,0.93,3.0751,1015.95
10.25,10.25,0.95,5.2969,1017.13
9.355555556,9.355555556,0.96,1.5295,1015.82
8.311111111,8.311111111,0.96,3.22,1015.82
8.811111111,8.811111111,0.96,3.3971,1015.89
8.733333333,7.933333333,0.93,6.3434,1015.83
11.93333333,11.93333333,0.93,11.27,1016.12
14.51666667,14.51666667,0.84,1.7066,1016.23
18.73333333,18.73333333,0.68,3.22,1016.23
20.02777778,20.02777778,0.6,7.245,1016.38
21.03888889,21.03888889,0.55,6.4883,1016.66
20.73888889,20.73888889,0.46,6.5044,1016.58
22.31666667,22.31666667,0.48,7.5348,1016.27
22.11111111,22.11111111,0.5,6.4561,1015.96
22.73333333,22.73333333,0.38,1.0143,1015.34
22.77777778,22.77777778,0.37,5.1842,1014.7
21.21666667,21.21666667,0.41,7.2772,1015.2
20.18333333,20.18333333,0.45,1.4812,1014.87
18.01111111,18.01111111,0.68,0.322,1014.78
17.42222222,17.42222222,0.65,0.5313,1015.54
13.96111111,13.96111111,0.82,0,1016.01
13.28888889,13.28888889,0.89,2.8819,1016.52
12.32222222,12.32222222,0.89,2.4794,1016.96
11.11666667,11.11666667,0.95,3.1717,1017.04
10.53333333,10.53333333,0.95,11.27,1017.33
12.38333333,12.38333333,0.8,4.6207,1019.59
9.861111111,9.861111111,0.96,3.0751,1017.25
8.872222222,8.872222222,0.95,1.5295,1017.42
8.672222222,8.672222222,0.94,3.6386,1017.74
7.688888889,7.688888889,1,0,1018.13
10.91111111,10.91111111,0.99,1.61,1018.62
14.83888889,14.83888889,0.82,2.6565,1019.08
18.8,18.8,0.65,1.5295,1019.11
21.09444444,21.09444444,0.49,4.8783,1019.5
22.02777778,22.02777778,0.49,4.2826,1019.86
22.82777778,22.82777778,0.47,3.6225,1019.79
22.91666667,22.91666667,0.37,4.5563,1019.47
23.91666667,23.91666667,0.37,6.2951,1019.25
23.91111111,23.91111111,0.4,2.5599,1018.89
23.93333333,23.93333333,0.37,4.347,1018.6
23.91666667,23.91666667,0.32,1.1753,1018.67
22.82222222,22.82222222,0.44,3.1234,1018.59
21.22777778,21.22777778,0.48,0.4025,1018.67
19.07777778,19.07777778,0.51,2.6887,1019.22
17.06111111,17.06111111,0.63,1.5778,1019.88
14.90555556,14.90555556,0.72,3.7513,1019.91
13.08333333,13.08333333,0.87,3.4132,1020.02
12.71111111,12.71111111,0.89,3.2522,1020.11
12.12777778,12.12777778,0.89,3.1717,1020.12
11.81111111,11.81111111,0.84,4.991,1018.38
12.01666667,12.01666667,0.8,6.2629,1019.91
12.04444444,12.04444444,0.8,6.4239,1020.03
10.62777778,10.62777778,0.86,9.7083,1020.39
9.911111111,8.688888889,0.99,9.1448,1020.6
12.55555556,12.55555556,0.9,7.7441,1020.81
15.00555556,15.00555556,0.78,8.7584,1021.01
17.33888889,17.33888889,0.74,12.1877,1020.94
19.1,19.1,0.67,12.6224,1020.66
21.26111111,21.26111111,0.57,9.9176,1020.53
22.41111111,22.41111111,0.54,11.4471,1020.16
22.93888889,22.93888889,0.5,8.5491,1019.95
23.92777778,23.92777778,0.47,11.3022,1019.43
23.96111111,23.96111111,0.47,8.3076,1018.97
23.96111111,23.96111111,0.38,8.5813,1018.28
23.11111111,23.11111111,0.42,10.7065,1017.97
22.82222222,22.82222222,0.44,12.4936,1017.68
21.11111111,21.11111111,0.47,5.2164,1017.89
18.18888889,18.18888889,0.58,4.8622,1017.96
16.01666667,16.01666667,0.72,4.6046,1018.31
15.46666667,15.46666667,0.72,6.44,1018.6
14.60555556,14.60555556,0.76,6.7459,1018.65
13.31111111,13.31111111,0.82,3.542,1018.44
12.73333333,12.73333333,0.83,3.0751,1018.23
13.78888889,13.78888889,0.77,6.0858,1014.58
10.57777778,10.57777778,0.88,6.44,1018.11
10.48333333,10.48333333,0.92,3.22,1017.73
10.28888889,10.28888889,0.91,3.7513,1017.7
9.972222222,9.972222222,0.92,1.5617,1017.62
13.63888889,13.63888889,0.9,2.7048,1017.54
16.73888889,16.73888889,0.74,7.245,1017.7
18.83888889,18.83888889,0.65,3.4132,1017.78
21.16111111,21.16111111,0.59,4.6046,1017.3
22.58888889,22.58888889,0.53,4.4275,1017.19
22.89444444,22.89444444,0.48,7.6636,1016.68
24.00555556,24.00555556,0.47,9.66,1016.08
24.00555556,24.00555556,0.35,8.0017,1015.62
23.97777778,23.97777778,0.44,9.2897,1014.86
25.04444444,25.04444444,0.32,3.5903,1013.97
24.07777778,24.07777778,0.35,4.9588,1013.39
22.38333333,22.38333333,0.45,9.4829,1013.18
21.20555556,21.20555556,0.52,3.6869,1013.21
18.26111111,18.26111111,0.62,6.2146,1013.75
17.2,17.2,0.67,14.49,1014.13
15.99444444,15.99444444,0.75,3.1073,1014.13
15.96111111,15.96111111,0.79,12.2843,1014.06
15.44444444,15.44444444,0.72,13.846,1013.92
14.37222222,14.37222222,0.75,10.9963,1013.82
13.60555556,13.60555556,0.9,9.982,1012.67
12.82222222,12.82222222,0.82,6.2468,1013.04
12.75,12.75,0.83,3.3488,1013.03
11.41666667,11.41666667,0.92,6.2307,1012.98
12.33333333,12.33333333,0.86,2.4633,1012.83
14.90555556,14.90555556,0.78,10.2879,1013.03
15.89444444,15.89444444,0.74,10.2879,1013.13
17.22777778,17.22777778,0.72,12.0589,1013.13
17.82777778,17.82777778,0.73,7.4704,1013.1
17.91666667,17.91666667,0.72,10.0947,1013.17
19.05555556,19.05555556,0.67,9.0965,1013
20.14444444,20.14444444,0.67,7.5187,1012.69
20.26111111,20.26111111,0.62,3.8962,1012.54
21.20555556,21.20555556,0.62,4.6368,1011.87
21.25555556,21.25555556,0.67,4.8944,1011.19
20.23333333,20.23333333,0.66,7.2128,1011.17
19.07777778,19.07777778,0.71,7.6475,1011.08
17.94444444,17.94444444,0.77,10.5777,1011.28
15.49444444,15.49444444,0.82,20.608,1012.08
14.14444444,14.14444444,0.89,8.4364,1012.64
14.53888889,14.53888889,0.86,11.0768,1012.79
14.13888889,14.13888889,0.86,3.6708,1012.79
13.4,13.4,0.9,3.5098,1012.56
13.42777778,13.42777778,0.9,3.3488,1012.8
11.58888889,11.58888889,0.74,5.474,1009.9
14.42222222,14.42222222,0.83,10.7709,1011.91
13.91666667,13.91666667,0.86,10.6904,1011.72
13.4,13.4,0.9,10.3201,1011.51
13.86666667,13.86666667,0.9,7.9373,1011.51
14.90555556,14.90555556,0.84,11.27,1011.6
15.93333333,15.93333333,0.74,10.6743,1011.59
17.12777778,17.12777778,0.65,19.8996,1011.41
18.75,18.75,0.58,19.4166,1011.2
18.96111111,18.96111111,0.6,17.0499,1011.25
19.99444444,19.99444444,0.54,16.8728,1010.98
